CustomerId,CreditScore,Age,Tenure,Balance,IsActiveMember
15634602,619,42.0,2,0.0,1.0
15647311,608,41.0,1,83807.86,1.0
15619304,502,42.0,8,159660.8,0.0
15701354,699,39.0,1,0.0,0.0
15737888,850,43.0,2,125510.82,1.0
15574012,645,44.0,8,113755.78,0.0
15592531,822,50.0,7,0.0,1.0
15656148,376,29.0,4,115046.74,0.0
15767821,528,31.0,6,102016.72,0.0
15737173,497,24.0,3,0.0,0.0
15632264,476,34.0,10,0.0,0.0
15691483,549,25.0,5,0.0,0.0
15600882,635,35.0,7,0.0,1.0
15643966,616,45.0,3,143129.41,1.0
15737452,653,58.0,1,132602.88,0.0
15788218,549,24.0,9,0.0,1.0
15661507,587,45.25,6,0.0,0.0
15568982,726,24.0,6,0.0,1.0
15577657,732,41.0,8,0.0,1.0
15597945,636,32.34,8,0.0,0.0
15699309,510,38.0,4,0.0,0.0
15725737,669,46.0,3,0.0,1.0
15625047,846,38.0,5,0.0,1.0
15738191,577,25.0,3,0.0,1.0
15736816,756,36.44,2,136815.64,1.0
15700772,571,44.0,9,0.0,0.0
15728693,574,43.0,3,141349.43,1.0
15656300,411,29.0,0,59697.17,1.0
15589475,591,39.0,3,0.0,0.0
15706552,533,36.0,7,85311.7,1.0
15750181,553,41.0,9,110112.54,0.0
15659428,520,42.0,6,0.0,1.0
15732963,722,29.0,9,0.0,1.0
15794171,475,45.0,0,134264.04,0.0
15788448,490,31.0,3,145260.23,1.0
15729599,804,33.0,7,76548.6,1.0
15717426,850,36.0,7,0.0,1.0
15585768,582,41.0,6,70349.48,1.0
15619360,472,40.0,4,0.0,0.0
15738148,465,51.0,8,122522.32,0.0
15687946,556,61.0,2,117419.35,1.0
15755196,834,49.0,2,131394.56,0.0
15684171,660,61.0,5,155931.11,1.0
15754849,776,32.0,4,109421.13,1.0
15602280,829,27.0,9,112045.67,1.0
15771573,637,39.0,9,137843.8,1.0
15766205,550,38.0,2,103391.38,1.0
15771873,776,37.0,2,103769.22,0.0
15616550,698,44.0,10,116363.37,0.0
15768193,585,36.0,5,146050.97,0.0
15683553,788,33.0,5,0.0,0.0
15702298,655,41.0,8,125561.97,0.0
15569590,601,42.0,1,98495.72,0.0
15760861,619,43.0,1,125211.92,1.0
15630053,656,45.0,5,127864.4,0.0
15647091,725,19.0,0,75888.2,0.0
15623944,511,66.0,4,0.0,0.0
15804771,614,51.0,4,40685.92,1.0
15651280,742,35.0,5,136857.0,0.0
15773469,687,27.0,9,152328.88,0.0
15702014,555,33.0,1,56084.69,0.0
15751208,684,56.0,8,78707.16,1.0
15592461,603,26.0,4,109166.37,1.0
15789484,751,36.0,6,169831.46,1.0
15696061,581,34.0,1,101633.04,0.0
15641582,735,43.0,10,123180.01,1.0
15638424,661,35.0,5,150725.53,1.0
15755648,675,21.0,8,98373.26,0.0
15703793,738,58.0,2,133745.44,0.0
15620344,813,29.0,6,0.0,0.0
15812518,657,37.0,0,163607.18,1.0
15779052,604,25.0,5,157780.84,1.0
15770811,519,36.0,9,0.0,1.0
15780961,735,21.0,1,178718.19,0.0
15614049,664,55.0,8,0.0,1.0
15662085,678,32.0,9,0.0,1.0
15575185,757,33.0,5,77253.22,1.0
15803136,416,41.0,10,122189.66,0.0
15706021,665,34.0,1,96645.54,0.0
15663706,777,32.0,2,0.0,0.0
15641732,543,36.0,3,0.0,0.0
15701164,506,34.0,4,90307.62,1.0
15738751,493,46.0,4,0.0,0.0
15805254,652,75.0,10,0.0,1.0
15762418,750,22.0,3,121681.82,0.0
15625759,729,30.0,9,0.0,0.0
15622897,646,46.0,4,0.0,0.0
15767954,635,28.0,3,81623.67,1.0
15757535,647,44.0,5,0.0,1.0
15731511,808,45.0,7,118626.55,0.0
15809248,524,36.0,10,0.0,0.0
15640635,769,29.0,8,0.0,1.0
15676966,730,42.0,4,0.0,1.0
15699461,515,35.0,10,176273.95,1.0
15738721,773,41.0,9,102827.44,1.0
15693683,814,29.0,8,97086.4,1.0
15604348,710,22.0,8,0.0,0.0
15633059,413,34.0,9,0.0,0.0
15808582,665,40.0,6,0.0,1.0
15743192,623,44.0,6,0.0,0.0
15580146,738,31.0,9,82674.15,0.0
15776605,528,36.0,7,0.0,0.0
15804919,670,65.0,1,0.0,1.0
15613854,622,46.0,4,107073.27,1.0
15599195,582,32.0,1,88938.62,1.0
15812878,785,36.0,2,99806.85,1.0
15602312,605,33.0,5,150092.8,0.0
15744689,479,35.0,9,92833.89,0.0
15803526,685,30.0,3,90536.81,1.0
15665790,538,39.0,7,108055.1,0.0
15715951,562,42.0,2,100238.35,0.0
15591100,675,36.0,9,106190.55,1.0
15609618,721,28.0,9,154475.54,1.0
15675522,628,30.0,9,132351.29,1.0
15705512,668,37.0,6,167864.4,0.0
15698028,506,41.0,1,0.0,0.0
15661670,524,31.0,8,107818.63,0.0
15600781,699,34.0,4,185173.81,0.0
15682472,828,34.0,8,129433.34,0.0
15580203,674,39.0,6,120193.42,0.0
15690673,656,39.0,6,0.0,0.0
15760085,684,48.0,10,126384.42,1.0
15779659,625,28.0,3,0.0,0.0
15627360,432,42.0,9,152603.45,0.0
15671137,549,52.0,1,0.0,1.0
15782688,625,56.0,0,148507.24,0.0
15575492,828,41.0,7,0.0,0.0
15591607,770,24.0,9,101827.07,0.0
15740404,758,34.0,3,0.0,1.0
15718369,795,33.0,9,130862.43,1.0
15677871,687,38.0,9,122570.87,1.0
15642004,686,25.0,1,0.0,1.0
15712543,789,39.0,7,124828.46,1.0
15584518,589,50.0,5,144895.05,1.0
15802381,461,34.0,5,63663.93,1.0
15610156,637,40.0,2,133463.1,1.0
15594408,584,48.0,2,213146.2,0.0
15640905,579,35.0,1,129490.36,1.0
15698932,756,44.0,10,137452.09,0.0
15724944,663,34.0,7,0.0,1.0
15628145,682,43.0,5,125851.93,1.0
15713483,793,52.0,2,0.0,0.0
15612350,691,31.0,5,40915.55,0.0
15800703,485,21.0,5,113157.22,1.0
15705707,635,29.0,8,138296.94,0.0
15754105,650,37.0,5,106967.18,0.0
15703264,735,44.0,9,120681.63,0.0
15794413,416,32.0,0,0.0,1.0
15650237,754,32.0,7,0.0,0.0
15759618,535,48.0,9,0.0,0.0
15811589,716,42.0,8,0.0,0.0
15689044,539,37.0,2,127609.59,0.0
15709368,614,43.0,6,0.0,1.0
15679145,706,57.0,7,0.0,0.0
15655007,758,33.0,7,0.0,0.0
15623595,586,28.0,2,0.0,1.0
15589975,646,73.0,6,97259.25,1.0
15804017,631,33.0,4,123246.7,0.0
15692132,717,22.0,6,101060.25,1.0
15641122,684,30.0,2,0.0,0.0
15630910,800,49.0,7,108007.36,0.0
15680772,721,36.0,2,0.0,1.0
15658929,683,29.0,0,133702.89,0.0
15585388,660,31.0,9,125189.75,1.0
15724623,704,24.0,7,113034.22,0.0
15588537,615,41.0,9,109013.23,0.0
15574692,667,39.0,2,0.0,0.0
15611325,682,24.0,9,57929.81,0.0
15587562,484,29.0,4,130114.39,0.0
15613172,628,27.0,5,95826.49,0.0
15651022,480,44.0,10,129608.57,0.0
15586310,578,30.0,4,169462.09,0.0
15625524,512,40.0,5,0.0,1.0
15755209,484,35.0,7,133868.21,1.0
15645248,510,30.0,0,0.0,1.0
15790355,606,36.0,5,190479.48,0.0
15762615,597,40.0,8,101993.12,1.0
15625426,754,55.0,3,161608.81,0.0
15716334,850,45.0,2,122311.21,1.0
15789669,510,65.0,2,0.0,1.0
15621075,778,45.0,1,162150.42,0.0
15810845,636,42.0,2,0.0,1.0
15719377,804,50.0,4,0.0,1.0
15654506,514,32.0,8,0.0,0.0
15771977,730,39.0,1,99010.67,0.0
15708710,525,37.0,0,0.0,1.0
15726676,616,30.0,5,0.0,1.0
15587421,687,34.0,7,111388.18,0.0
15726931,715,41.0,8,56214.85,0.0
15771086,512,36.0,3,84327.77,0.0
15756850,479,40.0,1,0.0,0.0
15702741,601,32.0,8,93012.89,0.0
15679200,580,29.0,9,61710.44,0.0
15594815,807,35.0,3,174790.15,1.0
15635905,616,32.0,6,0.0,1.0
15777892,721,37.0,3,107720.64,1.0
15656176,501,57.0,10,0.0,1.0
15811127,521,35.0,6,96423.84,0.0
15604482,850,30.0,2,141040.01,1.0
15622911,759,42.0,4,105420.18,1.0
15600974,516,50.0,5,0.0,1.0
15727868,711,38.0,2,129022.06,1.0
15627801,512,33.0,3,176666.62,0.0
15773039,550,37.0,3,0.0,1.0
15755262,608,41.0,3,89763.84,0.0
15679531,618,34.0,5,134954.53,1.0
15684181,643,45.0,5,0.0,0.0
15612087,671,45.0,2,106376.85,1.0
15752047,689,33.0,2,161814.64,0.0
15624592,603,31.0,8,0.0,1.0
15573152,620,41.0,9,0.0,0.0
15594917,676,34.0,1,63095.01,1.0
15785542,572,26.0,4,118287.01,0.0
15723488,668,47.0,7,106854.21,1.0
15680920,695,46.0,7,49512.55,0.0
15786308,730,33.0,9,0.0,0.0
15659366,807,43.0,1,105799.32,0.0
15774854,592,54.0,8,0.0,1.0
15725311,726,31.0,9,114722.05,1.0
15787155,514,30.0,7,0.0,1.0
15727829,567,42.0,2,0.0,1.0
15733247,850,33.0,10,0.0,0.0
15568748,671,45.0,6,99564.22,1.0
15699029,670,37.0,4,170557.91,0.0
15774393,694,30.0,9,0.0,1.0
15676895,547,39.0,6,74596.15,1.0
15637753,751,50.0,2,96888.39,0.0
15605461,594,29.0,3,130830.22,0.0
15808473,673,72.0,1,0.0,1.0
15627000,610,40.0,0,0.0,0.0
15787174,512,37.0,1,0.0,1.0
15723886,767,20.0,3,119714.25,1.0
15704769,585,67.0,5,113978.97,1.0
15772896,763,42.0,6,100160.75,0.0
15711540,712,29.0,2,0.0,1.0
15764866,539,43.0,3,116220.5,0.0
15794056,668,46.0,2,0.0,0.0
15795149,703,28.0,2,81173.83,1.0
15812009,662,38.0,4,0.0,0.0
15651001,725,39.0,5,116803.8,0.0
15813844,703,37.0,8,105961.68,1.0
15596175,659,67.0,6,117411.6,1.0
15576269,523,34.0,7,0.0,0.0
15797219,635,40.0,10,123497.58,0.0
15685500,772,26.0,7,152400.51,0.0
15599792,545,26.0,1,0.0,1.0
15657566,634,24.0,8,103097.85,1.0
15772423,739,54.0,8,126418.14,0.0
15628112,771,36.0,5,77846.9,0.0
15753754,587,34.0,1,0.0,1.0
15793726,681,79.0,0,0.0,1.0
15694717,544,37.0,2,79731.91,1.0
15665834,696,28.0,8,0.0,0.0
15765297,766,41.0,0,0.0,1.0
15636684,727,34.0,10,0.0,1.0
15592979,671,34.0,6,37266.67,0.0
15750803,693,30.0,6,127992.25,1.0
15607178,850,38.0,3,54901.01,1.0
15713853,732,42.0,9,108748.08,1.0
15673481,726,48.0,6,99906.19,0.0
15686776,557,32.0,6,184686.41,0.0
15673693,682,26.0,0,110654.02,1.0
15700696,738,31.0,9,79019.8,1.0
15813163,531,36.0,9,99240.51,0.0
15653857,498,34.0,2,0.0,1.0
15777076,651,36.0,7,0.0,0.0
15717398,549,39.0,7,0.0,0.0
15799217,791,35.0,7,52436.2,0.0
15787071,650,41.0,9,0.0,1.0
15619955,733,34.0,3,100337.96,0.0
15796505,811,34.0,1,149297.19,1.0
15725166,707,30.0,8,0.0,0.0
15800116,712,28.0,4,145605.44,1.0
15758685,706,37.0,7,0.0,1.0
15694456,756,62.0,3,0.0,1.0
15767339,777,53.0,10,0.0,0.0
15683562,646,35.0,6,84026.86,1.0
15782210,714,46.0,1,0.0,0.0
15668893,782,39.0,8,0.0,1.0
15669169,775,29.0,10,0.0,1.0
15643024,479,35.0,4,138718.92,1.0
15699389,807,42.0,7,118274.71,1.0
15708608,799,22.0,8,174185.98,1.0
15626144,675,40.0,7,113208.86,0.0
15573112,602,29.0,5,103907.28,0.0
15790678,475,32.0,8,119023.28,0.0
15727556,744,26.0,5,166297.89,1.0
15697307,588,34.0,10,0.0,0.0
15652266,703,42.0,9,63227.0,1.0
15607098,747,41.0,5,94521.17,0.0
15655774,583,27.0,7,0.0,0.0
15590241,750,34.0,9,112822.26,0.0
15785819,681,38.0,3,0.0,1.0
15723654,773,25.0,2,135903.33,0.0
15774510,714,31.0,4,125169.26,1.0
15684173,687,44.0,7,0.0,0.0
15650068,511,58.0,0,149117.31,1.0
15811490,627,33.0,5,0.0,1.0
15803976,694,31.0,10,0.0,0.0
15682541,616,36.0,6,132311.71,0.0
15695699,687,35.0,8,0.0,0.0
15624188,712,33.0,6,0.0,1.0
15812191,553,33.0,4,118082.89,0.0
15636673,667,31.0,1,119266.69,1.0
15594898,731,43.0,2,0.0,1.0
15660211,629,35.0,7,156847.29,0.0
15773972,614,50.0,4,137104.47,0.0
15746726,438,31.0,8,78398.69,0.0
15712287,652,80.0,4,0.0,1.0
15702919,729,30.0,6,63669.42,0.0
15674398,642,38.0,3,0.0,0.0
15797960,806,59.0,0,135296.33,0.0
15631868,744,36.0,2,153804.44,1.0
15581539,474,37.0,3,0.0,0.0
15662736,559,49.0,2,147069.78,0.0
15666252,706,42.0,9,0.0,1.0
15677512,628,22.0,3,0.0,0.0
15626114,429,24.0,4,95741.75,0.0
15810834,525,57.0,2,145965.33,1.0
15678910,680,30.0,8,141441.75,1.0
15694408,749,40.0,1,139290.41,0.0
15585215,763,31.0,4,0.0,0.0
15682757,734,30.0,3,0.0,0.0
15736601,716,35.0,4,144428.87,0.0
15601848,594,35.0,2,0.0,0.0
15736008,644,46.0,9,95441.27,0.0
15669064,671,35.0,1,144848.74,1.0
15624528,664,26.0,7,116244.14,1.0
15598493,656,50.0,7,0.0,1.0
15601274,667,40.0,1,146502.07,0.0
15702669,663,44.0,2,117028.6,1.0
15728669,584,30.0,8,112013.81,0.0
15742668,626,37.0,6,108269.37,0.0
15697441,485,29.0,7,182123.79,0.0
15740476,659,32.0,3,150923.74,1.0
15648064,649,33.0,2,0.0,0.0
15636624,805,39.0,5,165272.13,0.0
